Namn,Bilete-bguw,Frå år,Materialar,Materialkommentar,Nasjonalmuseet,Objekt-ID,Produksjonsstad,Produsent,Til år,3D-modell,Estimert vekt (kg),Nasjonalitet,Bilete-URL,Emneord,Erverving,Setehøgde (cm),Stilperiode,Teknikk,Breidde (cm),Datering,Djupn (cm),Høgde (cm),Nemning,Hundreår
'Bambole',https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O371734/O371734_bguw.png,1950,"Polyuretan, Skinn, Stål",[AI] Helpolstret i lysebrunt skinn over formstøpt polyuretan med innvendig rammekonstruksjon av stål.,https://collections.vam.ac.uk/item/O371734/,O371734,Italy,"Bellini, Mario",1950,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O371734/O371734.glb,0,Italia,"https://framemark.vam.ac.uk/collections/2018LC1045/full/!800,800/0/default.jpg",,,,,,167,1950,89,74,,1900-talet
Morning Sun,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1174865/O1174865_bguw.png,2010,Glasfiber,"Formpressa glasfiber, forgylta med lakk over bladgull",https://collections.vam.ac.uk/item/O1174865/,O1174865,United States,"Castle, Wendell",2010,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1174865/O1174865.glb,0,Anna,"https://framemark.vam.ac.uk/collections/2018LC0746/full/!800,800/0/default.jpg",,,,,,85.1,2010,91.4,81.3,,2000-talet
Palace chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1224753/O1224753_bguw.png,1983,"Maling, Tre",Måla tre,https://collections.vam.ac.uk/item/O1224753/,O1224753,Milan,"Sowden, George J.",,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1224753/O1224753.glb,,Italia,"https://framemark.vam.ac.uk/collections/2018LC0617/full/!800,800/0/default.jpg",,,,,,50.8,1983,45.72,96.52,,1900-talet
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O169157/O169157_bguw.png,1790,"Bøk, Lær, Mahogni, Messing","Mahogni, skoren og innlagd med lyst tre, med seteskinner og avstivarar av bøk. Original polstring med svart lærtrekk og messingspikring",https://collections.vam.ac.uk/item/O169157/,O169157,England,ukjent,1790,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O169157/O169157.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018LC0582/full/!800,800/0/default.jpg",,,,,"Innfelling, Polstring, Skjæring, Spikring",45.5,1790,43,91.5,,1700-talet
Bofinger chair (var.5),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372070/O372070_bguw.png,1965,Polyester,Formstøypt polyesterharpiks,https://collections.vam.ac.uk/item/O372070/,O372070,Karlsruhe,Rudolf  Baresel-Bofinger,1965,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372070/O372070.glb,,Tyskland,"https://framemark.vam.ac.uk/collections/2018LC0499/full/!800,800/0/default.jpg",,,,,,53,1965,53,74.5,,1900-talet
Chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O176218/O176218_bguw.png,1929,"Bjørk, Kryssfiner",Bjørk og laminert kryssfiner,https://collections.vam.ac.uk/item/O176218/,O176218,Turku,Alvar Aalto,1929,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O176218/O176218.glb,0,Finland,"https://framemark.vam.ac.uk/collections/2018KX9497/full/!800,800/0/default.jpg",,,,,,41.91,1929,48.26,78.74,,1900-talet
"Chair (Kjaerholm, Poul)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O176231/O176231_bguw.png,1968,"Lær, Stål","[AI] Bøyd og forkrommet stål, sete og rygg med tverrgående polstrede segmenter trukket i lær.",https://collections.vam.ac.uk/item/O176231/,O176231,Denmark,"Kjaerholm, Poul",1968,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O176231/O176231.glb,0,Danmark,"https://framemark.vam.ac.uk/collections/2018KX9381/full/!800,800/0/default.jpg",,,,,,80.5,1968,74,89,,1900-talet
"Chair (Boman, Carl-Johan)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O181072/O181072_bguw.png,1962,"Bøk, Kryssfiner, Maling, Metall","[AI] Formbøyd kryssfiner og heltre i bøk, sete med svart maling. Sammenleggbar konstruksjon med nagler og ledd i metall.",https://collections.vam.ac.uk/item/O181072/,O181072,Helsinki,"Boman, Carl-Johan",1962,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O181072/O181072.glb,0,Finland,"https://framemark.vam.ac.uk/collections/2018KX9373/full/!800,800/0/default.jpg",,,,,,48.8,1962,43.8,40,,1900-talet
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O80357/O80357_bguw.png,1732,"Bøk, Fløyel, Furu, Hestetagl, Lin, Nøttetre, Silke","Bein og seteramme av bøk, furu og nøttetre, oljeforgylt, delvis over slipt botn. Trekt med grøn silkefløyel kanta med silkeflette, med strukturell polstring av lin, linband og hestetagl",https://collections.vam.ac.uk/item/O80357/,O80357,Great Britain,ukjent,1732,,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KX5873/full/!800,800/0/default.jpg",,,,,Polstring,,1732,,,,1700-talet
Chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O304882/O304882_bguw.png,1936,"Finer, Tekstil, Tre","[AI Forslag: Tre (98%): Stolen er tydelig konstruert primært av tre, synlig i rammen, bena og ryggstøtten. Fargen indikerer et løvtre, muligens mahogni eller lignende.; Finer (85%): For å oppnå den glatte overflaten og de innfelte dekorative linjene (sannsynligvis intarsia eller lignende innleggsarbeid), er det svært sannsynlig at deler av stolen er dekket med finer.; Tekstil (95%): Seteputen er trukket med et mørkt, vevd materiale, som faller inn under kategorien tekstil.; Tre (90%): De dekorative linjene og stjernemotivene ser ut til å være laget av et annet farget materiale innlagt i treverket, ofte utført med lyse tresorter eller bein/elfenben (som ikke er på listen). Gitt begrensningene, er det en type tre- eller trebasert innlegg.]",https://collections.vam.ac.uk/item/O304882/,O304882,United Kingdom,"Ravilious, Eric",1936,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O304882/O304882.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KX3791/full/!800,800/0/default.jpg",,,,,,51,1936,54,87,,1900-talet
Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372052/O372052_bguw.png,1971,"Skumplast, Tekstil, Tre","[AI Forslag: Tre (98%): Stolens ramme, ben og armlener er tydelig laget av et solid, lakkert eller oljet løvtre. Ut fra fargen og strukturen er Eik eller Bøk sannsynlig, men 'Tre' er det mest generelle og sikre valget basert på bildet alene.; Tekstil (95%): Polstringen på sete og rygg er dekket av et grovvevd tekstil, sannsynligvis et ullblandet stoff eller lignende, karakteristisk for tweed eller bouclé, som faller inn under kategorien Tekstil.; Ull (80%): Den grovvevde, flekkete overflaten på polstringen ligner sterkt på tweed, som tradisjonelt lages av ull. Dette er en rimelig antagelse for denne typen stoff i møbler.; Skumplast (85%): For å oppnå den tykke, polstrede formen på setet og ryggen, er det svært sannsynlig at det er brukt polstringsfyll som skumplast (polyuretan) under tekstilet, selv om det ikke er direkte synlig.]",https://collections.vam.ac.uk/item/O372052/,O372052,England,George Fejer,1971,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372052/O372052.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KX3757/full/!800,800/0/default.jpg",,,,,,,1971,,,,1900-talet
Chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O326738/O326738_bguw.png,1927,"Bjørk, Ull",[AI] Lakkert bjørk med polstret sete trukket med blått ullstoff.,https://collections.vam.ac.uk/item/O326738/,O326738,England,Bath Cabinet Makers,1927,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O326738/O326738.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KX3627/full/!800,800/0/default.jpg",,,,,,46.4,1927,41.9,86.4,,1900-talet
Pair of chairs,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372057/O372057_bguw.png,1972,"Maling, Skumplast, Tekstil, Tre","[AI Forslag: Tre (98%): Stolens ramme, inkludert de buede armlenene og bena, ser ut til å være laget av bøyd eller formet tre, typisk for modernistiske stoler fra midten av århundret, ofte laget av bjørk eller bøk. Det er dekket av grønn maling.; Maling (95%): Rammen har en tydelig, levende grønn farge som indikerer at treet er malt eller beiset med en dekkende finish.; Tekstil (90%): Setet og ryggstøtten er polstret og dekket av et vevd, gulgrønt tekstil. Dette er en generell kategori for stoffdekning.; Skumplast (85%): Under tekstilet på setet og ryggen er det nesten helt sikkert et polstringsfyll, hvor skumplast er det mest sannsynlige moderne eller semi-moderne materialet for dette formålet.]",https://collections.vam.ac.uk/item/O372057/,O372057,Norway,"Lindekrantz, Bo",1972,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372057/O372057.glb,0,Noreg,"https://framemark.vam.ac.uk/collections/2018KX3616/full/!800,800/0/default.jpg",,,,,,55,1972,37.5,79,,1900-talet
"Chair (Boman, Carl-Johan)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O371748/O371748_bguw.png,1962,"Bjørk, Kryssfiner, Linoleum, Metall","[AI] Formpresset og lakkert kryssfiner av bjørk, sete belagt med svart linoleum, detaljer i metall.",https://collections.vam.ac.uk/item/O371748/,O371748,Helsinki,"Boman, Carl-Johan",1962,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O371748/O371748.glb,0,Finland,"https://framemark.vam.ac.uk/collections/2018KX3593/full/!800,800/0/default.jpg",,,,,,48.8,1962,43.8,40,,1900-talet
Mae West Lips sofa,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1441053/O1441053_bguw.png,1938,"Polyuretan, Tekstil, Tre, Ull","[AI] Polstret trekonstruksjon med formstøpt polyuretan, trukket med rød ull og dekorert med sorte tekstilfrynser.",https://collections.vam.ac.uk/item/O1441053/,O1441053,London,Salvador Dalí,1938,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O1441053/O1441053.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KX3591/full/!800,800/0/default.jpg",,,,,,202,1938,92,79,,1900-talet
"Chair (Boman, Carl-Johan)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O371749/O371749_bguw.png,1962,"Bjørk, Kryssfiner, Linoleum, Metall","[AI] Klarlakkert, formbøyd og laminert bjørk. Sete av kryssfiner belagt med svart linoleum, montert med synlige metallskruer.",https://collections.vam.ac.uk/item/O371749/,O371749,Helsinki,"Boman, Carl-Johan",1962,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O371749/O371749.glb,0,Finland,"https://framemark.vam.ac.uk/collections/2018KX3590/full/!800,800/0/default.jpg",,,,,,46,1962,41.5,44.2,,1900-talet
Safari,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O180089/O180089_bguw.png,1960,"Bøk, Lerret, Lær, Messing",Bøk; sete og rygg av linduk; armlene av lær; messingringar og platebeslag.,https://collections.vam.ac.uk/item/O180089/,O180089,Denmark,"Koch, Mogens",1960,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O180089/O180089.glb,0,Danmark,"https://framemark.vam.ac.uk/collections/2018KX1595/full/!800,800/0/default.jpg",,,,Postmodernisme,,55,1960,52,87,,1900-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O118921/O118921_bguw.png,1900,"Maling, Sølv, Tre","Bartre eller poppel, skoren, måla og forsølva",https://collections.vam.ac.uk/item/O118921/,O118921,Venice,ukjent,1900,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O118921/O118921.glb,0,Italia,"https://framemark.vam.ac.uk/collections/2018KX1177/full/!800,800/0/default.jpg",,,,,,55.5,1900,64,89,,1900-talet
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372113/O372113_bguw.png,1850,"Bjørk, Metall, Skinn","[AI] Mørkbeiset og lakkert bjørk med dreide og riflede forben. Polstret sete og ryggfelt trukket med grønt skinn, festet med dekorative metallnagler.",https://collections.vam.ac.uk/item/O372113/,O372113,England,ukjent,1850,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372113/O372113.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KX0660/full/!800,800/0/default.jpg",,,,,,49,1850,49,87.5,,1800-talet
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O368648/O368648_bguw.png,1890,"Mahogni, Metall, Skinn, Strie","[AI] Mahogni med dreid dekor, polstret sete og rygg trukket med skinn, festet med metallnagler, underspenn av strie.",https://collections.vam.ac.uk/item/O368648/,O368648,England,ukjent,1890,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O368648/O368648.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KX0659/full/!800,800/0/default.jpg",,,,,,49.5,1890,49,94,,1800-talet
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O301124/O301124_bguw.png,1770,"Lær, Tre","[AI Forslag: Tre (98%): Stolen er tydelig konstruert av tre, både rammeverk, ben og ryggstøtte. Den mørke fargen og finishen tyder på et hardere løvtre, muligens Mahogni eller Nøttetre, men 'Tre' er den mest generelle og sikre identifikasjonen.; Lær (90%): Setet er polstret med et mørkt, glatt materiale som visuelt ligner på lær, vanlig for stoler av denne typen fra klassiske perioder.; Nøttetre (75%): Gitt stilen (som minner om tidlig amerikansk/engelsk klassisisme, som Hepplewhite/Sheraton), var Nøttetre (Walnut) et svært vanlig og foretrukket materiale for finere møbler, noe fargen og kornstrukturen (hvis synlig) kunne indikere.; Mahogni (70%): Mahogni var et annet svært populært og dominerende materiale for høykvalitetsmøbler i denne estetikken, spesielt i Europa og USA. Fargen passer godt med mahogni.]",https://collections.vam.ac.uk/item/O301124/,O301124,England,ukjent,1770,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O301124/O301124.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KW9988/full/!800,800/0/default.jpg",,,,,,53.5,1770,52.5,94.5,,1700-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372121/O372121_bguw.png,1780,"Lær, Mahogni","Skoren mahogni, med polstring i grønt lær.",https://collections.vam.ac.uk/item/O372121/,O372121,Great Britain,ukjent,1780,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372121/O372121.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KW9979/full/!800,800/0/default.jpg",,,,,,59.5,1780,65,91.5,,1700-talet
Armchair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372158/O372158_bguw.png,1780,"Mahogni, Messing, Silke","[AI] Skåret mahogni med fernissert overflate, polstret sete og rygg trukket med stripet silketrekk, festet med messingnagler.",https://collections.vam.ac.uk/item/O372158/,O372158,England,ukjent,1780,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372158/O372158.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KW9946/full/!800,800/0/default.jpg",,,,,,62.2,1780,54.6,92.7,,1700-talet
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O369451/O369451_bguw.png,1650,Nøttetre,Skore nøttetre,https://collections.vam.ac.uk/item/O369451/,O369451,Italy,ukjent,1650,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O369451/O369451.glb,0,Italia,"https://framemark.vam.ac.uk/collections/2018KW9929/full/!800,800/0/default.jpg",,,,,Skjæring,55.2,1650,38.1,138.4,,1600-talet
Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O368625/O368625_bguw.png,1994,"Kunstlær, Metall, Tre","[AI Forslag: Tre (95%): Hele rammen, benene, ryggstøtten og armlenene er laget av lyst treverk. Det kan være en type løvtre som Bøk eller Lønn gitt fargen og kornet, men 'Tre' er det sikreste generelle valget.; Lønn (80%): Det lyse, relativt jevne kornet på treverket er veldig typisk for Lønn (Maple), spesielt brukt i moderne/funksjonalistiske møbler.; Kunstlær (90%): Seteputen har en jevn, matt rød overflate som ligner på dekket med et slitesterkt materiale, sannsynligvis kunstlær (eller muligens Lær/Polyuretan), brukt ofte på offentlige/kantinemøbler.; Metall (85%): Det er synlige metallfester (muligens stål eller aluminium) som holder armlenene til rammen.; Stål (70%): Gitt at det er brukt metallfester, er Stål et vanlig og sterkt materiale for slike skjulte beslag og pinner.]",https://collections.vam.ac.uk/item/O368625/,O368625,Udine,"Morrison, Jasper",1994,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O368625/O368625.glb,0,Italia,"https://framemark.vam.ac.uk/collections/2018KW9720/full/!800,800/0/default.jpg",,,,,,54,1994,47,46,,1900-talet
Chair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372076/O372076_bguw.png,1966,"Lerret, Maling, Tre",[AI] Svartmalt tre med sete og rygg av oppspent lerret.,https://collections.vam.ac.uk/item/O372076/,O372076,Germany,"Lange, Gerd",1966,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372076/O372076.glb,0,Tyskland,"https://framemark.vam.ac.uk/collections/2018KW9697/full/!800,800/0/default.jpg",,,,,,64,1966,35,35,,1900-talet
Armchair,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O350228/O350228_bguw.png,1969,"Plysj, Skumplast, Tre","[AI] Helpolstret lenestol med innvendig ramme av tre, polstring av skumplast og trekk av rød plysj med karakteristiske radierende dekorsømmer.",https://collections.vam.ac.uk/item/O350228/,O350228,Italy,"Bartoli, Carlo",1969,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O350228/O350228.glb,0,Italia,"https://framemark.vam.ac.uk/collections/2018KW9693/full/!800,800/0/default.jpg",,,,,,73.5,1969,83,41.5,,1900-talet
Stool,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O112078/O112078_bguw.png,1937,"Furu, Ull","[AI] Lakkert furu, boksformet base med polstret sete trukket i stripet ull.",https://collections.vam.ac.uk/item/O112078/,O112078,America,"Wright, Frank Lloyd",1937,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O112078/O112078.glb,0,Anna,"https://framemark.vam.ac.uk/collections/2018KW5977/full/!800,800/0/default.jpg",,,,,,65,1937,77,42,,1900-talet
"Stool (Wright, Frank Lloyd)",https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O112077/O112077_bguw.png,1937,"Furu, Skumplast, Ull",[AI] Lakkert furu med polstret sete trukket med tekstil av ull.,https://collections.vam.ac.uk/item/O112077/,O112077,America,"Wright, Frank Lloyd",1937,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O112077/O112077.glb,0,Anna,"https://framemark.vam.ac.uk/collections/2018KW5974/full/!800,800/0/default.jpg",,,,,,65,1937,77,42,,1900-talet
Stool,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O59254/O59254_bguw.png,1805,"Mahogni, Messing, Silke","Mahogni, skoren og dreidd, med nokre utskorne detaljar forgylte, med forgylte messingbeslag. Polstringa i silkesateng er fornya",https://collections.vam.ac.uk/item/O59254/,O59254,Paris,Jacob-Desmalter,1805,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O59254/O59254.glb,0,Frankrike,"https://framemark.vam.ac.uk/collections/2018KW5967/full/!800,800/0/default.jpg",,,,,"Dreiing, Polstring, Skjæring",63,1805,41,56,,1800-talet
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372230/O372230_bguw.png,1758,"Mahogni, Tekstil","[AI] Skåret og profilert mahogni, polstret sete trukket med mønstret tekstil.",https://collections.vam.ac.uk/item/O372230/,O372230,England,ukjent,1758,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O372230/O372230.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KP0351/full/!800,800/0/default.jpg",,,,,,67.9,1758,63.5,100.9,,1700-talet
Chair (ukjent),https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O53309/O53309_bguw.png,1725,"Bøk, Rotting","Bøk, dekorert med japanlakk og forgylling, med spanskrøyra sete og rygg",https://collections.vam.ac.uk/item/O53309/,O53309,England,ukjent,1725,https://raw.githubusercontent.com/lukketsvane/stolar-db/main/VA_3d/O53309/O53309.glb,0,Storbritannia,"https://framemark.vam.ac.uk/collections/2018KP0330/full/!800,800/0/default.jpg",,,,,"Fletting, Lakkering",65,1725,62,43,,1700-talet
